year,city,avg_temp
1856,Ibadan,26.92
1857,Ibadan,24.97
1858,Ibadan,25.93
1859,Ibadan,25.66
1860,Ibadan,25.77
1861,Ibadan,25.82
1862,Ibadan,26.81
1863,Ibadan,
1864,Ibadan,
1865,Ibadan,
1866,Ibadan,
1867,Ibadan,
1868,Ibadan,
1869,Ibadan,
1870,Ibadan,
1871,Ibadan,
1872,Ibadan,
1873,Ibadan,25.87
1874,Ibadan,25.98
1875,Ibadan,25.60
1876,Ibadan,25.98
1877,Ibadan,26.15
1878,Ibadan,26.10
1879,Ibadan,25.51
1880,Ibadan,25.91
1881,Ibadan,26.19
1882,Ibadan,25.82
1883,Ibadan,26.21
1884,Ibadan,26.23
1885,Ibadan,26.15
1886,Ibadan,25.63
1887,Ibadan,24.93
1888,Ibadan,25.28
1889,Ibadan,25.11
1890,Ibadan,24.63
1891,Ibadan,25.11
1892,Ibadan,25.34
1893,Ibadan,25.46
1894,Ibadan,25.46
1895,Ibadan,25.74
1896,Ibadan,25.69
1897,Ibadan,26.15
1898,Ibadan,25.63
1899,Ibadan,26.04
1900,Ibadan,26.19
1901,Ibadan,26.25
1902,Ibadan,25.89
1903,Ibadan,25.52
1904,Ibadan,25.23
1905,Ibadan,25.81
1906,Ibadan,26.02
1907,Ibadan,25.66
1908,Ibadan,25.88
1909,Ibadan,25.87
1910,Ibadan,26.13
1911,Ibadan,25.44
1912,Ibadan,25.55
1913,Ibadan,26.36
1914,Ibadan,26.61
1915,Ibadan,26.56
1916,Ibadan,26.25
1917,Ibadan,26.67
1918,Ibadan,26.16
1919,Ibadan,26.67
1920,Ibadan,26.38
1921,Ibadan,26.57
1922,Ibadan,26.44
1923,Ibadan,26.50
1924,Ibadan,26.70
1925,Ibadan,26.46
1926,Ibadan,26.85
1927,Ibadan,26.75
1928,Ibadan,26.63
1929,Ibadan,26.13
1930,Ibadan,26.69
1931,Ibadan,26.80
1932,Ibadan,26.35
1933,Ibadan,26.64
1934,Ibadan,26.62
1935,Ibadan,26.70
1936,Ibadan,26.51
1937,Ibadan,26.80
1938,Ibadan,26.68
1939,Ibadan,26.06
1940,Ibadan,26.66
1941,Ibadan,27.18
1942,Ibadan,26.83
1943,Ibadan,26.39
1944,Ibadan,26.83
1945,Ibadan,26.89
1946,Ibadan,26.50
1947,Ibadan,26.77
1948,Ibadan,26.36
1949,Ibadan,26.73
1950,Ibadan,26.42
1951,Ibadan,26.63
1952,Ibadan,26.46
1953,Ibadan,26.48
1954,Ibadan,26.14
1955,Ibadan,26.20
1956,Ibadan,26.14
1957,Ibadan,26.41
1958,Ibadan,26.50
1959,Ibadan,26.51
1960,Ibadan,26.43
1961,Ibadan,26.26
1962,Ibadan,26.31
1963,Ibadan,26.76
1964,Ibadan,26.28
1965,Ibadan,26.34
1966,Ibadan,26.52
1967,Ibadan,26.18
1968,Ibadan,26.47
1969,Ibadan,26.69
1970,Ibadan,26.70
1971,Ibadan,26.39
1972,Ibadan,26.55
1973,Ibadan,26.95
1974,Ibadan,26.14
1975,Ibadan,26.00
1976,Ibadan,26.24
1977,Ibadan,26.84
1978,Ibadan,26.50
1979,Ibadan,26.75
1980,Ibadan,26.62
1981,Ibadan,26.59
1982,Ibadan,26.47
1983,Ibadan,26.83
1984,Ibadan,26.70
1985,Ibadan,26.58
1986,Ibadan,26.45
1987,Ibadan,27.33
1988,Ibadan,26.74
1989,Ibadan,26.35
1990,Ibadan,26.88
1991,Ibadan,26.61
1992,Ibadan,26.49
1993,Ibadan,26.70
1994,Ibadan,26.60
1995,Ibadan,26.85
1996,Ibadan,26.77
1997,Ibadan,26.73
1998,Ibadan,27.36
1999,Ibadan,26.85
2000,Ibadan,26.75
2001,Ibadan,26.76
2002,Ibadan,26.98
2003,Ibadan,27.15
2004,Ibadan,27.11
2005,Ibadan,27.27
2006,Ibadan,27.38
2007,Ibadan,27.29
2008,Ibadan,27.07
2009,Ibadan,27.35
2010,Ibadan,27.56
2011,Ibadan,27.13
2012,Ibadan,27.00
2013,Ibadan,27.17
